YIL      AY    DEGER     
-------------------------
2,024    1     1,984.02  
2,024    2     2,073.88  
2,024    3     2,139.47  
2,024    4     2,207.50  
2,024    5     2,281.85  
2,024    6     2,319.29  
2,023    1     1,203.48  
2,023    2     1,241.33  
2,023    3     1,269.75  
2,023    4     1,300.04  
2,023    5     1,300.60  
2,023    6     1,351.59  
2,023    7     1,479.84  
2,023    8     1,614.31  
2,023    9     1,691.04  
2,023    10    1,749.11  
2,023    11    1,806.50  
2,023    12    1,859.38  
2,022    1     763.23    
2,022    2     799.93    
2,022    3     843.64    
2,022    4     904.79    
2,022    5     931.76    
2,022    6     977.90    
2,022    7     1,001.03  
2,022    8     1,015.65  
2,022    9     1,046.89  
2,022    10    1,084.00  
2,022    11    1,115.26  
2,022    12    1,128.45  
2,021    1     513.30    
2,021    2     517.96    
2,021    3     523.53    
2,021    4     532.32    
2,021    5     537.05    
2,021    6     547.48    
2,021    7     557.36    
2,021    8     563.60    
2,021    9     570.66    
2,021    10    584.32    
2,021    11    604.84    
2,021    12    686.95    
2,020    1     446.45    
2,020    2     448.02    
2,020    3     450.58    
2,020    4     454.43    
2,020    5     460.62    
2,020    6     465.84    
2,020    7     468.56    
2,020    8     472.61    
2,020    9     477.21    
2,020    10    487.38    
2,020    11    498.58    
2,020    12    504.81    
2,019    1     398.07    
2,019    2     398.71    
2,019    3     402.81    
2,019    4     409.63    
2,019    5     413.52    
2,019    6     413.63    
2,019    7     419.24    
2,019    8     422.84    
2,019    9     427.04    
2,019    10    435.59    
2,019    11    437.25    
2,019    12    440.50    
2,018    1     330.75    
2,018    2     333.17    
2,018    3     336.48    
2,018    4     342.78    
2,018    5     348.34    
2,018    6     357.44    
2,018    7     359.41    
2,018    8     367.66    
2,018    9     390.84    
2,018    10    401.27    
2,018    11    395.48    
2,018    12    393.88    
2,017    1     299.74    
2,017    2     302.17    
2,017    3     305.24    
2,017    4     309.23    
2,017    5     310.61    
2,017    6     309.78    
2,017    7     310.24    
2,017    8     311.85    
2,017    9     313.88    
2,017    10    320.40    
2,017    11    325.18    
2,017    12    327.41    
2,016    1     274.44    
2,016    2     274.38    
2,016    3     274.27    
2,016    4     276.42    
2,016    5     278.02    
2,016    6     279.33    
2,016    7     282.58    
2,016    8     281.76    
2,016    9     282.27    
2,016    10    286.33    
2,016    11    287.81    
2,016    12    292.54    
2,015    1     250.45    
2,015    2     252.24    
2,015    3     255.23    
2,015    4     259.39    
2,015    5     260.85    
2,015    6     259.51    
2,015    7     259.74    
2,015    8     260.78    
2,015    9     263.11    
2,015    10    267.20    
2,015    11    268.98    
2,015    12    269.54    
2,014    1     233.54    
2,014    2     234.54    
2,014    3     237.18    
2,014    4     240.37    
2,014    5     241.32    
2,014    6     242.07    
2,014    7     243.17    
2,014    8     243.40    
2,014    9     243.74    
2,014    10    248.37    
2,014    11    248.82    
2,014    12    247.72    
2,013    1     216.74    
2,013    2     217.39    
2,013    3     218.83    
2,013    4     219.75    
2,013    5     220.07    
2,013    6     221.75    
2,013    7     222.44    
2,013    8     222.21    
2,013    9     223.91    
2,013    10    227.94    
2,013    11    227.96    
2,013    12    229.01    
2,012    1     201.98    
2,012    2     203.12    
2,012    3     203.96    
2,012    4     207.05    
2,012    5     206.61    
2,012    6     204.76    
2,012    7     204.29    
2,012    8     205.43    
2,012    9     207.55    
2,012    10    211.62    
2,012    11    212.42    
2,012    12    213.23    
2,011    1     182.60    
2,011    2     183.93    
2,011    3     184.70    
2,011    4     186.30    
2,011    5     190.81    
2,011    6     188.08    
2,011    7     187.31    
2,011    8     188.67    
2,011    9     190.09    
2,011    10    196.31    
2,011    11    199.70    
2,011    12    200.85    
2,010    1     174.07    
2,010    2     176.59    
2,010    3     177.62    
2,010    4     178.68    
2,010    5     178.04    
2,010    6     177.04    
2,010    7     176.19    
2,010    8     176.90    
2,010    9     179.07    
2,010    10    182.35    
2,010    11    182.40    
2,010    12    181.85    
2,009    1     160.90    
2,009    2     160.35    
2,009    3     162.12    
2,009    4     162.15    
2,009    5     163.19    
2,009    6     163.37    
2,009    7     163.78    
2,009    8     163.29    
2,009    9     163.93    
2,009    10    167.88    
2,009    11    170.01    
2,009    12    170.91    
2,008    1     146.94    
2,008    2     148.84    
2,008    3     150.27    
2,008    4     152.79    
2,008    5     155.07    
2,008    6     154.51    
2,008    7     155.40    
2,008    8     155.02    
2,008    9     155.72    
2,008    10    159.77    
2,008    11    161.10    
2,008    12    160.44    
2,007    1     135.84    
2,007    2     136.42    
2,007    3     137.67    
2,007    4     139.33    
2,007    5     140.03    
2,007    6     139.69    
2,007    7     138.67    
2,007    8     138.70    
2,007    9     140.13    
2,007    10    142.67    
2,007    11    145.45    
2,007    12    145.77    
2,006    1     123.57    
2,006    2     123.84    
2,006    3     124.18    
2,006    4     125.84    
2,006    5     128.20    
2,006    6     128.63    
2,006    7     129.72    
2,006    8     129.15    
2,006    9     130.81    
2,006    10    132.47    
2,006    11    134.18    
2,006    12    134.49    
2,005    1     114.49    
